TITLE: Bill of Materials
DATE: 06/20/2022
DESIGN: pc069a_toplevel
TEMPLATE: /projects/HEP_Instrumentation/cad/tools/cadence_templates/spreadsheet-format.bom
CALLOUT: 

Part Name,Ref Des,Qty,PART_NUMBER,PART_DESCRIPTION,OL_COMMENTS,KL_COMMENTS,PL_COMMENTS,Do Not Fit,MANUFACTURER,DNF
24AA025E48T-I/SN,IC2,1,24AA025E48T-I/SN,?,?,?,?,?,MICROCHIP,?
637L5003I2T,QZ2,1,637L5003I2T,?,?,?,?,?,CTS,?
74LCX04MTC,IC9,1,74LCX04MTC,?,?,?,?,?,FAIRCHILD SEMICONDUCTOR,?
ADCMP604BKSZ,"IC5,IC6,IC7",3,ADCMP604BKSZ,?,?,?,?,?,ANALOG DEVICES,?
"CAPCERSMDCL2_0402-1.0NF,50V_GEN","C30,C34,C37,C41",4,CC0402_1NF_50V_10%_X7R,?,?,?,?,?,GENERIC,?
"CAPCERSMDCL2_0402-100NF,16V_GEN","C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C31,C32,C33,C36,C38,C39,C40,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C69,C70,C71,C72,C107,C117",60,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,?
"CAPCERSMDCL2_0402-10NF,16V_GEN",C73,1,CC0402_10NF_16V_10%_X7R,?,?,?,?,?,GENERIC,?
"CAPCERSMDCL2_0603-10UF_X5R,6.3V",C64,1,CC0603_10UF_6V3_10%_X5R,?,?,?,?,?,GENERIC,?
"CAPCERSMDCL2_0805-10UF,16V",C35,1,C0805C106K4PAC,?,?,?,?,?,KEMET,?
"CAPCERSMDCL2_0805-2.2UF,10V_GEN",C12,1,CC0805_2.2UF_10V_+80%-20%_Y5V,?,?,?,?,?,GENERIC,?
CON20P_SFP-1888247-1,J4,1,1888247-1,?,?,?,?,?,TYCO,?
CON3P-MTLW-103-07-L-S-250,"J1,J2,J3,J5,J6,J8,J9,J10",8,MTLW-103-07-L-S-250,?,?,?,?,TRUE,SAMTEC,?
CON400P_40ABCDEFGHJK-SEAM-40-03.5-S-10-2-A-K-TR,P1,1,SEAM-40-03.5-S-10-2-A-K-TR,?,?,?,?,?,SAMTEC,?
CON4P-MTLW-104-07-L-S-250,J11,1,MTLW-104-07-L-S-250,?,?,?,?,TRUE,SAMTEC,?
DS90LV028A_SOIC,IC8,1,08.DS90LV028ATM,?,?,?,?,?,NATIONAL SEMICONDUCTOR,?
DSC1123CI5-40.0000,QZ1,1,DSC1123CI5-40.0000,?,?,?,?,?,Micrel,?
INDUCTANCE_LQH32C_23-4.7UH,"L1,L2",2,LQH32CN4R7M23,?,?,?,?,?,MURATA,?
LGL29K-G2J1-24,"LD1,LD2,LD3",3,LGL29K-G2J1-24,?,?,?,?,?,OSRAM,?
MAX9381_UMAX,U1,1,?,?,?,?,?,?,?,?
PCA9306DCU,IC1,1,PCA9306DCU,?,?,?,?,?,TEXAS INSTRUMENTS,?
PCA9517DGKR,IC15,1,PCA9517DGKR,?,?,?,?,?,TEXAS INSTRUMENTS,?
PCOAX-U.FL-R-SMT-1(10),"PX1,PX2,PX3,PX4,PX5,PX6",6,U.FL-R-SMT-1(10),?,?,?,?,?,HIROSE,?
"RSMD0402_0.0625W-XX,1%",R60,1,R0402_XX_1%_0.063W,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-0R0,1%","R58,R59",2,R0402_0R0_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-10,1%",R61,1,R0402_10R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-100,1%","R7,R8,R9,R11,R18",5,R0402_100R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-150,1%","R5,R6",2,R0402_150R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-1K,1%","R10,R17,R19,R20,R21,R44",6,R0402_1K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,?
"RSMD0402_1/16W-200K,1%",R1,1,R0402_200K_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,?
